time,ni_in,fe_in,cao_in,al2o3_in,s_m,bc,mc_kilnfeed,fc_coal,gcv_coal,current_pry,current_sec1,current_sec2,current_sec3,load,power_factor,realisasi_beban,rpm,kg_tco,charge_kiln,tdo,pry_p,sec_p,pry_v,sec_v,total_coal,total_fuel,a_f_ratio,reductor_consume,t_tic162,t_tic163,metal_temp,ni_met,c_met,si_met,fe_met,s_met,ni_slag,fe_slag,t_kalsin,pic_161,loi_kalsin
2024-10-03 23:00:00,1.59,16.98,1.11,2.91,2.424487,0.432783,22.960000000000004,42.92892420158894,6325.991571672923,22.47,19.300000000000004,19.600000000000005,21.1,37.56,-1.0,37.56,1.028565,37.5,114.62,88.303248,459.9,158.60000000000002,102.4,466.9000000000001,4300.0,4300.0,7.943721000000001,1.838,1023.356567,772.228027,1560.0,14.360000000000001,1.3300000000000003,1.28,82.45700000000001,0.5730000000000001,0.05,7.280000000000001,699.50592,-3.818337,0.0
2024-10-04 00:00:00,1.59,16.98,1.11,2.91,2.424487,0.432783,22.960000000000004,42.92589465624327,6325.053835892075,22.470000000000002,22.900000000000006,21.800000000000004,24.100000000000005,32.38,-1.0,32.38,1.026945,43.6,116.51000000000002,89.75930400000001,463.1,145.30000000000004,102.3,468.1,4400.0,4400.0,7.778181999999999,1.844,994.508423,784.054138,1560.0,14.410000000000004,1.4200000000000004,1.3500000000000003,82.27,0.5500000000000002,0.05,7.280000000000001,686.564514,-3.585561,0.6800000000000002
2024-10-04 01:00:00,1.59,15.76,0.77,2.5,2.350296,0.439325,19.79,42.92286579816674,6324.116312841786,22.470000000000002,21.400000000000002,20.500000000000004,18.0,36.8,-1.0,36.8,1.033425,42.00000000000001,115.42000000000002,92.578382,452.1,154.00000000000003,101.60000000000001,474.5000000000001,4300.000000000001,4300.000000000001,8.038605,2.049,984.322266,786.224426,1560.0000000000002,14.410000000000002,1.4200000000000002,1.3500000000000003,82.27000000000001,0.55,0.05,7.280000000000001,672.811218,-1.922864,0.6800000000000002
2024-10-04 02:00:00,1.59,15.76,0.77,2.5,2.350296,0.439325,19.790000000000003,42.919837638719194,6323.1790060382655,22.470000000000002,23.5,23.500000000000004,23.500000000000004,37.07,-0.99,36.6993,1.0287,42.1,117.13000000000001,93.949973,448.8,161.5,101.4,473.0,4200.0,4200.0,8.205714000000002,2.034,973.567505,819.26886,1560.0,14.410000000000002,1.4200000000000002,1.3500000000000003,82.27000000000001,0.5500000000000002,0.05,7.28,667.316162,-2.53545,0.6800000000000002
2024-10-04 03:00:00,1.59,15.76,0.77,2.5,2.350296,0.439325,19.79,42.916810189260445,6322.241918997719,22.470000000000002,22.300000000000004,22.3,22.300000000000004,35.94,-1.0,35.94,1.029375,38.10000000000001,116.62000000000002,93.54090200000002,403.00000000000006,163.40000000000006,94.0,466.30000000000007,3800.0,3800.0,8.846842000000002,2.044,934.385193,785.212158,1560.0000000000002,14.41,1.4200000000000002,1.35,82.27000000000001,0.55,0.05000000000000001,7.280000000000001,661.445007,-3.411437,0.6800000000000002
2024-10-04 04:00:00,1.66,15.1,0.67,2.57,2.248005,0.456976,19.790000000000003,42.91378346115031,6321.305055236357,22.470000000000002,22.6,18.5,21.500000000000007,34.85,-1.0,34.85,1.024785,38.20000000000001,116.62000000000003,93.54090200000002,384.0,161.60000000000002,93.60000000000001,465.4,3800.000000000001,3800.000000000001,8.826316000000002,2.045,905.539978,778.472961,1560.0,14.410000000000004,1.42,1.3500000000000003,82.27000000000001,0.5500000000000002,0.05,7.28,653.116638,-3.371437,0.68
2024-10-04 05:00:00,1.66,15.1,0.67,2.57,2.248005,0.456976,17.770000000000003,42.91075746574862,6320.368418270384,22.47,20.6,22.000000000000004,21.800000000000004,37.0,-0.99,36.63,1.03356,41.9,117.11000000000001,96.29955300000003,383.9,152.30000000000004,93.30000000000001,445.4,3800.0,3800.0,8.505789,2.043,931.458557,768.841248,1560.0000000000002,14.410000000000002,1.4200000000000002,1.3500000000000003,82.27,0.55,0.05,7.280000000000001,667.884521,-2.991294,0.68
2024-10-04 06:00:00,1.66,15.1,0.67,2.57,2.248005,0.456976,17.77,42.90773221441517,6319.43201161601,22.47,22.800000000000004,21.700000000000003,23.1,36.1,-0.9900000000000002,35.739,1.02816,43.60000000000001,115.17000000000003,94.70429100000001,406.00000000000006,137.9,96.0,452.6,4300.0,4300.0,7.654883999999999,2.112,982.48114,778.720642,1560.0,14.410000000000004,1.4200000000000002,1.35,82.27000000000001,0.55,0.05,7.280000000000001,690.176331,-2.934242,0.68
2024-10-04 07:00:00,1.66,15.1,0.67,2.57,2.248005,0.456976,17.770000000000003,42.90470771850982,6318.49583878944,22.470000000000002,20.7,21.4,22.200000000000003,37.53,-1.0,37.53,1.031805,43.6,113.26000000000002,93.13369800000001,406.5,152.3,95.80000000000001,457.30000000000007,4300.000000000001,4300.000000000001,7.717673999999999,2.037,974.132813,783.491821,1560.0000000000002,14.41,1.42,1.35,82.27000000000001,0.5500000000000002,0.05,7.28,698.552979,-2.914926,0.68
2024-10-04 08:00:00,1.66,15.1,0.67,2.57,2.248005,0.456976,17.770000000000003,42.90168398939236,6317.559903306885,22.47,23.700000000000003,23.5,22.5,35.93,-0.99,35.5707,1.03086,41.900000000000006,116.49000000000001,95.78972700000001,402.5,145.90000000000003,95.5,455.00000000000006,4200.0,4200.0,7.864286000000001,2.04,944.208984,796.017395,1560.0000000000002,14.490000000000002,1.3000000000000003,1.32,82.31800000000001,0.572,0.05,7.280000000000001,704.560364,-3.799199,-2.42861286636753e-17
